,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,24.0,4.9,Sunny,Medium,1,Buffet,scooter,,No,Metropolitian,19,29223.427571201424
1,20.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,25,29223.427571201424
2,31.0,4.6,Windy,Medium,1,Snack,scooter,0.0,No,Urban,22,29223.427571201424
3,37.0,4.9,Stormy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,23,29223.427571201424
4,27.0,5.0,Windy,Jam,2,Drinks,motorcycle,0.0,No,Urban,16,29223.427571201424
5,23.0,4.9,Stormy,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,26,29223.427571201424
6,34.0,4.6,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,49,29223.427571201424
7,24.0,4.5,Windy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,29,29223.427571201424
8,21.0,4.3,Cloudy,Medium,1,Snack,scooter,1.0,No,Metropolitian,39,29223.427571201424
9,33.0,5.0,Sunny,Low,1,Drinks,scooter,0.0,No,Urban,13,29223.427571201424
10,28.0,4.9,Sunny,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,19,29220.335722907137
11,35.0,4.7,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,27,29220.335722907137
12,24.0,4.8,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,15,29220.335722907137
13,30.0,4.2,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,47,29220.335722907137
14,24.0,4.6,Fog,Medium,0,Meal,motorcycle,1.0,No,Urban,33,29220.335722907137
15,37.0,4.9,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Urban,19,29220.335722907137
16,,,,,0,Drinks,motorcycle,1.0,No,Metropolitian,29,29220.335722907137
17,30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,Yes,Urban,40,29220.335722907137
18,29.0,5.0,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,25,29216.112634938032
19,24.0,4.8,Sunny,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,10,29216.112634938032
20,36.0,4.8,Sandstorms,Jam,1,Buffet,scooter,0.0,No,Metropolitian,27,29216.112634938032
21,21.0,5.0,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,38,29216.112634938032
22,38.0,4.4,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,41,29216.112634938032
23,20.0,4.8,Sunny,Medium,2,Meal,scooter,0.0,No,Urban,12,29216.112634938032
24,37.0,4.0,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,39,29216.112634938032
